text,label
nam cheong swings back to profitability in 1h18 post debt restructuring resumes trading today,1
Profit for period EUR mn up from EUR mn in,1
klci to remain lacklustre in line with overnight fall at global markets,0
main strength of cooperation project lies in merging knowhow of two large companies,1
manulife us reit placement well oversubscribed raises gross proceeds of us805 mil,1
ytl power to develop rm842b jordan power plant with china s yudean group,1
airasia denies claims tony fernandes will resign to enter financial technology sector,1
bright packaging s 1q net loss widens on lower sales volume forex losses,0
Elisa said mobile subscriptions grew percent during mainly because of customers adopting socalled third generation mobile technology,1
tasco venturing into cold chain logistics via rm188m buy of gold cold,0
February Finnish media company Sanoma Oyj HEL SAA1V said yesterday its net profit almost tripled to EUR297 m from EUR107 m for and announced proposal for raised payout,1
With this agreement we can continue our good cooperationand at same time release capital that tied up in ourmachinery operation,1
Finnish pharmaceuticals company Orion s net sales rose to EUR 190mn in first quarter of from EUR 180mn in first quarter of,1
Citigroup Inc NYSE C announced that its Global Transaction Services GTS business awarded new mandate by Finlandbased Pohjola Bank Group,1
china jinjiang environment opportunity to tap on fastgrowing wastetoenergy market,1
Finnair said that cancellation of flights would cause daily losses of x20ac million US million,0
hlib research upgrades brahim s raises target to sen,1
marc affirms sime darby plantation s aaa rating with stable outlook,1
Finnish automation solutions developer Cencorp Corporation OMX Helsinki CNC1V said on Friday June that it completed employee negotiations regarding reorganisation of its operations,1
global airline share prices rose by in october says iata,1
Net sales for period expected to fall well below that of last year and result after nonrecurring items expected to in red,0
hap seng plantations warns of lower fy18 earnings as 2q profit slumps,0
likely special dividend by airasia from aac stake sale says cimb research,1
Via Satlan acquisition Teleste plans to further expand its market presence as video services partner for cable operators broadcasters and IPTV service providers,1
pricing asset quality and costcutting keys in mbsbmuamalat merger talks,1
ambank rhb bank fall after moody s report on proposed merger,0
Unilever Continues to Battle Soft Demand,0
banking sector seen on track for loan growth in,1
indonesia may need to keep hiking rates but no crisis brewing bank ceo,1
As result company decided it will implement fixedterm temporary layoffs,0
parkway life reit posts drop in 2q dpu to cents on absence of oneoff gains,0
how does helping client sabotage economy asks lawyer in sosma case,1
UPDATE 1Norways Statoil shakes up top management replaces CFO,0
ram local shippers to see keener competition following cabotage policy relaxation,0
dr m to bring in chinese car parts makers to improve local talent,1
versatile creative terminated as main contractor for us693m halal vaccine project,1
apple to start india manufacturing in coming months with iphone se source,1
Uncommonly weak snow conditions in nearly every market affected our first quarter result Chief Executive Roger Talermo said,0
affin hwang am cautions investors against chasing market amid market rally,0
At same time sales development in Russia boosted by opening of Stockmann Nevsky Centre in St Petersburg,1
th heavy slumps after auditor casts concern on future operations,0
company also expects to sell its products in other Russian region,1
It projected revenue of billion to billion slightly higher than analyst estimates of billion,1
Our strategic cooperation with Rentakran brings us new customers and alreadyworking relationships with authorities of new territories said Jarmo Laasanen senior manager at Cramo,1
sgx refines surveillance system to allow greater unusual share trading movement,1
yuan s record weekly losing streak puts specter of in play,0
kps ups stake to in firm awarded rm174m infrastructure job,1
hap seng plantations to acquire smaller rival kretam for rm118b or sen per share,1
fn 3q net profit jumps on higher contribution from malaysia and thailand,1
Therefore company s result will remain weaker than that of,0
Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase,1
hiring woes largely due to lack of online presence suggests survey,0
petronas slashes dividend by to rm16b after sharp profit fall,0
We ve feeling quite positive about region as whole,1
Lifetree founded in and its revenues risen on average by with margins in late 30s,1
apartment block will welllocated in easy reach of city center and close to both school and kindergarten,1
This vessel order will help Aspo secure longterm competitiveness of its fleet both in terms of technology and pricing,1
Foundries division reports its sales increased by to EUR mn from EUR mn in corresponding period in and sales of Machine Shop division increased by to EUR mn from EUR mn in corresponding period in,1
According to Finnish Aktia Bank s Managing Director Jussi Laitinen bank s aim to triple number of its customers in Finland in next five years,1
lotte chemical 2q net profit at rm31503m vs rm11362m on revenue of rm227b vs rm178b year ago,1
Operating profit EUR mn in compared to EUR mn in,0
In Finland snow storms brought trees down on power lines cutting off electricity for some households,0
CocaCola market leader of manufacturers with market share of down from corresponding period in,0
Operating profit in fourth quarter fell to EUR33m from EUR39m year earlier,0
For full company expects its net sales and operating result to improve from previous year saying that positive operating result and its amount will depend on order intake by end of summer,1
Britain cuts Lloyds Banking Group stake to below pct,0
Finnish Sampo Bank of Danish Danske Bank group reports profit before taxes of EUR mn in up from EUR mn in,1
sinmah capital to go into property development forms jv with encorp,1
Nokia world s largest mobile phone manufacturer and China Postel China s largest mobile phone distributor longstanding partnership that continues to grow stronger over time,1
bumi armada reports rm124m 3q net profit on better fpso businesses,1
gic in talks to buy stake in us clinical trials firm sources,1
bertam alliance unit served notice of demand for payment of rm457m and continuing interest,1
malaysia drops four spots to 23rd place in global ip protection,0
BasWare s product sales grew strongly in financial period by percent,1
macc to record statements from fgv s mohd isa senior management,0
Activist Fund TCI Backs German Takeover of London Stock Exchange,1
guocoland 1q net profit down on absence of fair value gain,1
most se asian stocks fall indonesian shares slide as rupiah slumps,0
Operating margin however slipped to from dragged down by poor performance in enterprise solutions,0
subscriptions increase Cargotec s share capital by euros,1
Small investors voiced fears that shares will end up with risk investors,0
mk land unit slapped with irb lawsuit over rm2698m tax claim,0
They would invest not only in physical infrastructure but would also provide knowhow for managing and developing science and technology parks said Sunrise Valley director Andrius Bagdonas,1
GlaxoSmithKline set to complete billion Novartis asset swap next week,1
AstraZeneca profit down as sales of stalwarts fade,0
higher oil price may boost knm momentum says public ib research,1
malaysia airlines converts max 8s order for max 10s,1
oil speculators bet rally s over as doubts grow on output freeze,0
klci halts ascend tracks regional markets on uschina trade war woes,0
cimb niaga s loan growth targeted to pick up this year,1
hong leong ib george kent in prime position for klsingapore hsr bid,1
informatics education reports fall in 3q earnings to s08 mil,0
CompaniesLord Livingston joins Dixons Carphone,1
Comparable net sales expected to increase more than in in line with group target,1
As result distribution companies will start to distribute in addition to their current product offering Shimano reels rods and other Shimano fishing tackle products on exclusive basis,1
klci falls points as local stocks catch up with regional decline,0
federal court rules statements recorded by sc protected from disclosure,1
gd express 3q net profit up on higher courier services demand,1
As result Russia s import restrictions on Finnish dairy companies will canceled on August,1
china to pull approval for facebook s planned venture nyt,1
Both loans will used to finance strategic investments such as shopping center redevelopment projects and refinancing of maturing debt,1
bain files for china antitrust approval on us18b toshiba chips deal source,0
CompaniesG4S claims positive start to year,1
ecoworld to hand over aurora and basalta eco sky by this yearend,0
bison s 2q net profit at rm4m declares sen dividend,1
Systeemitiimi s sales and project resources will also strengthened director Paul Skogberg said,1
change will optimize operational efficiencies of our growing business said Julia Prohaska director of marketing communications for Fiskars,1
advance synergy s unit completes investment in vietnam s top mobile service provider,1
foreign buying loses traction falls to lowest this year,0
rubberex 2q net profit down on higher costs of production,0
ccm duopharma s gearing to rise to times on rm280m financial facilities,0
mudajaya signs 21year ppa with tnb to build solar plant in perak,1
sin hee yang property group launches four new projects in bandar baru salak tinggi,1
from anime to ma how netflix plans to spend us8 bil in,1
UPDATE 1Seattle flotilla protests Shells Arctic drilling plans,0
Finnish electronics manufacturing services EMS company Elcoteq SE posted net loss of mln euro mln for first half of compared to net profit of mln euro mln for same period of,0
Barclays in million US settlement over mutual funds,0
Net sales rose by yearonyear to EUR59 m as number of chargers delivered went up by to million pieces,1
GSK joins China trade push as UK trumpets healthcare deals,1
Smith Nephew recalls hipreplacement components,0
Currency causes fullyear headaches for SABMiller,0
Lloyds Banking Group to cut jobs and close branches,1
impairment loss pulls misc 4q net profit down pays nine sen dividend,0
sc ticks multi sports off for submitting false misleading financial statements,0
aax active falls after mahb starts legal action for airport fees,1
samchem 1q earnings up on higher sales higher profit margin,1
china s home prices rise in fewer cities as curbs on buyers bite,1
analysts still see upside for tnb as share price approaches record high,0
falcon bank singapore branch shutdown regrettable but confidence in future remains,0
Both operating profit and net sales for threemonth period increased respectively from EUR16 m and EUR139m as compared to corresponding quarter in,1
British American Tobacco drops and sues PwC over pollution scandal,0
immediate hurdle for ideal jacobs at sen says alliancedbs research,0
cwk group banks on mrt for wisma aman elite in cheras,1
parties also agreed on options that allow UH to extensively implement later on also functionalities of human resources management,1
CocaCola Company and CocaCola FEMSA to Acquire AdeS SoyBased Beverage Business From Unilever,1
July Finnish steel maker Rautaruukki Oyj HEL RTRKS or Ruukki said today it turned to net profit of EUR20m in second quarter of from net loss of EUR94m in corresponding period last year,1
klci rises continues to climb toward next resistance of,1
unless i am completely absent from cimb bank cannot operate at its highest level of integrity says nazir,0
Industry NewsHammerson joint venture buys Dublin loan portfolio,1
contract signed in August with Papua New Guineabased Lihir Gold Ltd ASX LGL,1
Several growth initiatives in chosen geographic areas already ongoing it continued noting Lindex opened its first store in Czech Republic this autumn in Brno,1
fbm klci continues to pare gains but remains in positive territory,1
cityneon signs term sheet for running of marvel s avengers exhibitions in australia,0
Exxon Beaumont CDU overhaul to slowed by accident sources,0
china aviation oil posts rise in 1q earnings to s354 mil,1
This first time Finnair awarded agreement with UK government,1
According to Arokarhu some of purchases that scanned into cash register computer disappeared when total sum key pressed,0
Tullow Oil eyes lower earnings as output falls,0
mulpha international s 3q net profit falls on lower sales,0
Global sports equipment maker Amer Sports Corp whose brands include Atomic Salomon and Wilson saw percent increase in thirdquarter net profit to EURO million million on strong sales and cost cuts,1
immediate support for eg industries at sen says alliancedbs research,1
Cuadrilla files to delay application to frack in Lancashire,0
rebuilds designed to improve machines performance and product quality,1
important for ph to win big in sg kandis syed saddiq,1
Asian traffic declined by per cent,0
malaysia headline inflation to pick up to in says rhb research,0
no gaming tax hike tobacco tax boost unlikely says ambank research,1
Kalmar awarded new 5year contract to supply its Rough Terrain Container Handler RTCH,1
lower revenue higher operating costs keep bintai kinden in red in 1q,0
oldtown s 3q earnings fall on lower revenue higher expenses pays sen dividend,0
Due to market conditions company will also temporarily lay off about people at different sites,0
ram puts rm845m mrcb southern link sukuk on negative rating watch,0
aeon credit s 2q net profit up declares sen dividend per share,1
eco world bags aon best of best employer in malaysia,1
press metal 1q net profit up pays sen dividend,1
wheat falls for 2nd day on ample world supplies soybeans dip,0
uob potential ma deals to anchor earnings for malaysian telcos,1
Finnish pharmaceuticals company Orion reports profit before taxes of EUR mn in third quarter of up from EUR mn in corresponding period in,1
proton sale dr m laments my child lost and soon my country,0
BP Judge Urged to Impose BillionPlus Spill Fine,0
straits trading buys stake in sydney office building for s1227 mil,1
ADP News Jan Finnish industrial machinery company Vaahto Group Ltd Oyj HEL WAT1S said today that its subsidiary Vaahto Ltd would cut jobs in Finland,0
caring pharmacy s 4q net profit jumped on higher sales,1
buildtech yangon synergises development of green network in myanmar,1
petgas 3q slides on forex loss pays sen dividend,0
ja solar to begin exporting solar cells from malaysia next month,1
aax inks instructor services agreement with asian aviation centre of excellence,1
synergies seen from mmc corp s full acquisition of penang ports,1
Last month Outokumpu sold more than percent of its technology unit Outokumpu Technology Oyj to further its strategic goal of becoming world s largest stainless steel maker,1
Royal Dutch Shell Posts Rise in Earnings Despite Lower Oil Prices,1
felda global active falls on report of proposed steering committee,0
right time for tiong nam to go for warehouse reit listing,1
ivory properties eyes gross profit from penang times square s phases four five,1
hlib downgrades mbm to hold cuts fy15 earnings forecast by,0
Fullyear operating result for million negative,0
world stocks slip for third day as trade emerging market worries bite,0
Trading ExpertBROKER RECOMMENDATIONSUBS ups RBS to buy as it reinitiates coverage on UK banks,1
Dominos Pizza worker sacked after crude slur aimed at customer on order screen,0
attack only serves to strengthen bursa s resolve to uphold transparency corporate governance,0
HELSINKI AFX KCI Konecranes said it won order for four hot metal ladle cranes from Indian steel producer Bhushan Steel and Strips Ltd,1
company s annual loss amounted to EEK 18mn compared to profit of EEK mn in,0
Royal Dutch Shell profit rises dividend up,1
It provides customers with industryleading elevators escalators and innovative solutions for maintenance and modernization,1
klci expected to stay below 1720level as bears remain in control,1
top glove 3q net profit forecast to weaker qoq says affinhwang capital,1
UPDATE 3BP settles oil spillrelated claims with Halliburton Transocean,0
UPDATE 2AB InBev launches SAB bid to sell MillerCoors stake,0
lower loan impairment allowance higher loan recovery push affin s 1q profit up by,1
PO Ferries now very efficient and powerful vessel for its Dover to Calais route head of shipbuilder s Rauma yard Timo Suistio said,1
memorandum of understanding on cooperation between Finnish Global Chemical Company KEMIRA and Vietnam National Chemicals Group Vinachem signed on this occasion,1
hong leong bank public bank among top gainers after malaysia rate hike,1
wall street s bet on global currencies bloodied with dollar soaring,0
ipic says will make written demand to recover money from malaysia s mof inc 1mdb,1
Buffetts Berkshire builds Deere stake dumps Exxon,0
ekovest gets unanimous shareholders approval for proposed duke disposal share split,1
Johnson Matthey raises prospect of investor payout,1
uob ringgit to fluctuate at usdmyr to but stronger towards year end,1
priceworth says price tag for logging concession less than market value,0
Persimmon shares nudge higher as housebuilder sees strong,1
ringgit weakens against us dollar as oil falls below us30 per barrel,0
mrcb bags rm31b contract to build commercial project in kwasa damansara,1
singapore private home sales rise to in may from year ago,1
forest city residential units offered in exchange for investments in china says azmin,1
don t blame proton for high car prices says dr mahathir,1
Johnson Matthey profit lifted by metals unit sale,1
klci to start final week of on positive note tight band seen,1
econpile bags rm570m job from malton reports rise in 2q profit,1
Those uncertainties cloud longterm outlook,0
external auditors express uncertainty over hb global s ability to continue as going concern,0
Sales of security and system packaging increased slightly,1
Applying for summer work seen as laborious and stressful,0
1mdb agrees to arbitration request filed by ipic aabar over us65b claim,0
workers not fired to offset minimum wage hike hartalega,1
ahmad zaki s 4q net profit grows on stronger construction income,1
oue says group approached to purchase ue shares but not in talks,1
thai premier sees elections early next year to end military rule,1
Dealers said share largely hit by investor disappointment about refining margin of just usd per barrel for quarter and performance of its shipping unit which saw EBIT drop to mln eur from mln eur year amid fall in volumes and tanker rates,0
Finnish software and hardware developer Elektrobit Oyj HEL EBG1V or EB said today it will temporarily lay off up to people for maximum of day in Finland aiming to achieve cost savings of EUR million USD 2m in second half of,0
capitaland 2q npi down slightly at rm598m declares sen dpu,0
raffles education stays in red in 9m ended march on challenging business environment,1
Baltimore Police and Fire Pension which about billion lost about million in Madoff Ponzi scheme,0
alsalam reit to buy mydin hypermarket in terengganu for rm155 mil,1
jho low family dealt setback in move to claim assets in 1mdb probe,0
hong kong stocks fall to near 7month low as yuan s slide adds to china growth fears,0
LONDON MORNING BRIEFING HSBC And Standard Chartered Shares Rise,1
jho low used 1mdb money to gift us325000 ferrari for kim kardashian report,1
westports 3q net profit up on higher cargo volume revised tariff,1
hlfg s 2q net profit up on higher commercial banking contributions,1
all outstanding aes summonses worth rm435m to cancelled govt to take over system mot,1
Additionally company will terminate maximum nine salaried and senior salaried employees employment contracts,0
Cuts equivalent to costs of about employees target company said,0
stop blame game just fix lopsided concessions ku li tells putrajaya,1
Net sales revenue per passenger expected to increase,1
UKs FTSE hits new record highs as CRH climbs,1
three sgxlisted hotel restaurant leisure stocks worthy of global stage,1
sasbadi eyeing one acquisition per year to strengthen its dominant position,1
According to Nordic financial group Nordea s analyst Sami Sarkamies this makes Nokia s portfolio competitive again,1
Asahi could about to snap up more of SABMillers beers ahead of AB InBev sale,1
saudi minister says current oil price to soon spur demand growth,1
Quarterly diluted EPS on continuing operations came in at eur compared with last year s eur,1
luxchem s 4q net profit more than doubles proposes sen dividend,1
malaysia gst will not raised after ge14 dpm zahid,0
capitaland raises s2 bil to establish third raffles city china private equity vehicle,1
utusan melayu 2q net loss down on lower total costs,0
knight frank malaysia home price growth 5th fastest in asia pacific from,0
Sophos aims to raise 100m in London IPO,1
agreement with SHB December Finnish financial services group Aktia HEL AKTAV concluded market making agreement with Svenska Handelsbanken STO SHB or SHB two parties said today,1
Israeli cable network operator HOT Telecom chosen Teleste international technology group as its exclusive provider of FTTx equipment in Israel according to Teleste today,1
igb reit s latest results above expectations profit rises yoy,1
hot weekend demand for hong kong units as market yet to cool,1
ibhd s 3q net profit slips stays confident of commendable fy17 results,0
challenge accepted singtel launches first mobile plans with unlimited data talktime and sms,1
mpi s 1q net profit surges pays eight sen dividend,1
Operating profit rose to EUR2 m from EUR1 m year earlier,1
singapore property prices tick up but developers may face difficulty raising prices by much,0
decision to sell share in Lenenergo reached in line with Fortum s strategic plans to invest mainly in generating assets in Russia while Lenenergo grid company press release said,1
velesto s successful claim against frontier seen to lower finance costs,0
fitch downgrades petronas longterm credit ratings to after msia s downgrade,0
Valeant AstraZeneca strike psoriasis drug deal,1
stocks rise after selloff yields up on comments by fed chair,1
skittish start for klci ahead of bank negara mpc meet on friday,1
Nokia and Elisa will work together to bring superior mobile gaming experience for Elisa customers,1
united plantations 2q net profit up on lower tax expenses,1
Biohit said that it will reduce number of leased personnel by and lay off of its own personnel,0
china s overseas property purchases investments slump as capital controls bite,0
Ministry of Water in Tanzania awarded Poyry water and sanitation engineering assignment for rehabilitation and extension of water supply and sanitation infrastructure in Bukoba and Musoma situated at Lake Victoria in northern Tanzania,1
batu kawan s 1q net profit triples on higher revenue land disposal,1
multi sports holdings aims to issue outstanding financial reports by june,1
period s sales dropped to EUR30 m from EUR38 m according to interim report released today,0
aax soars as much as after fernandes said will huge year,1
Expense ratio compared to in corresponding period in,0
shahrir samad confident of local act protecting citizens data from tpp,1
china galaxy becomes joint shareholder of cimb s int l stockbroking business for rm515m,1
Belarus OAO Lidskoe Pivo brewery based in Grodno Region reported decrease in output to million decaliters in JanuaryMarch representative in administration of company told,0
those who suffer from critical illness will likely face it again how to protect yourself from this,1
goldman s call turns cathay into hong kong s hottest stock,1
hwang capital s 4q net profit falls on lower contribution from all businesses,1
Vaahto Pulp Paper of Finnish Vaahto Group awarded order to renovate FinnishSwedish forest industry company Stora Enso s paperboard machine at Ingerois Board Mill in Finland,1
company s previous estimate for lower revenue than yearago EUR million,0
BP to pay investors 175m over Gulf spill claims,0
klci to trade range bound with upside bias hover above level,1
macc probes felda s fic again this time over kuching hotel buy,0
Warren Buffett defends Berkshire Hathaways conglomerate structure,1
Acquisitions made and businesses well integrated,1
afg expects loans to grow by midsingle digit in fy18 ceo,1
uk recoups taxpayer funds in us15b bradford bingley loans sale,1
AstraZeneca chases Acerta to secure next cancer drug winner,1
poh kong s 2q net profit falls on weak jewellery demand,0
sarawak plantation s 4qfy15 earnings down on impairment loss reversal,0
Finnish company previously said its operating result will lower than breakeven posted year earlier,0
Biohit and VWR in close cooperation for number of years in US where Biohit one of VWR s focus suppliers,1
hb global s auditor casts doubt on group s ability to continue as going concern,0
as trump s cue cheers markets north korea missile tests sentiment,1
Glencore raises 25bn through share placing to help cut debt load,1
Morrisons helps FTSE edge higher energy shares slip,1
ARM swings to profit in fourth quarter,1
AstraZeneca Acquires ZS Pharma in Billion Deal,1
Sales in Latin America increased by to EUR 432mn and total of mn mobile devices sold in area representing increase of from corresponding period in,1
economic report close to half million malaysians need debt counselling,0
tiong nam 1q net profit jumps on growth in logistics and warehousing services,1
capitaland got boost from its china properties in 4q but will it last,1
UPDATE 1Shire takes Q2 earnings pain for longterm gain,0
estimated synergy benefits at least EUR7m annually,1
We look forward to helping company develop its operational services and further digitalize its services for its customers,1
vallianz says swiber developments impact on business but situation manageable,1
Finnish forest machinery and equipment maker Ponsse Oyj said on October it will deliver total of cuttolength method forest machines and harvester heads to Brazilian paper maker Bahia Pulp and to unnamed Uruguayan wood harvesting contractors,1
appasia in big data venture with pm s son nazifuddin and china firm,1
Glencore profit in line takes billion charge on commodity prices,1
Kai Tulonen Chief Technology Officer SysOpen Digia says We using Corporate Phonebook inside SysOpen Digia extensively since last fall and we very satisfied with results,1
newsbreak national bank of abu dhabi malaysia to close this year,0
Can Standard Chartered PLC BP plc Burberry Group plc Keep Charging,1
mrcb 4q net profit at rm27m fullyear profit up at rm330m,1
Sharm elSheikh travel disruption British Airways EasyJet Thomson and,0
company also said that in Poland profitability program launched at Oborniki steel frame and sandwich panel plant,1
osk ventures 2q net profit jumps by over times on higher income net fair value gain,1
LONDON MIDDAY BRIEFING Kingfishers French Expansion Hits Rocks,0
china s investment retail sales miss expectations july industrial output growth steady,0
propnex merges with dennis wee group to form singapore s largest property agency,1
courts asia sinks into red in 1q on lower revenue,0
bsn not rejecting loan applications by oil and gas workers says report,1
bank negara s foreign reserves up to us98b as at may,1
klci pares loss but seen staying in red tracking region,0
troubled pknp units will not shut down perak mb,0
It rose by and by in Finland and abroad respectively to EUR million and EUR million due to growth in Russia,1
Morrisons store closures jobs to go as branches closed due to,0
Shell to buy BG Group in billion takeover,1
bursa malaysia starts fy18 on firm footing 1q net profit up,1
former isr capital chairman s bankruptcy annulled less than months after order,0
ock unit s buy helps tap into vietnam s telecom industry,1
syarikat takaful s 4q net profit rises on higher wakalah fee income,1
Based on strong customer interest and feedback using RPM mobile phone manufacturers operators enterprises and developer forums can significantly increase their product and service quality userexperience and costefficiency Tulonen continues,1
trump nails obamacare with decision to cut off billions in subsidies,0
sime darby property 4q net profit drops declares sen dividend,0
TietoEnator itself uses Nokia s Intellisync Mobile Suite s wireless email calendar and device management capabilities and company will now extend these services to its customers,1
macc police must respond to src s denial on donation to najib says pas,1
WPPs Sir Martin Sorrell highestpaid FTSE chief executive,1
Britain facing winter of blackouts as National Grid warns of tightest power,0
At pm OMX Helsinki pct lower at and OMX Helsinki down pct at on volume of mln eur,0
About Marubeni Marubeni Corporation TSE ADR MARUY established in and core company of Marubeni Group one of Japan s leading general trading houses,1
nordic group sells tech park crescent property for s34 mil,1
palm oil producers report better numbers but improvements may not sustainable,0
xox gets uma query about sharp rise in share price volume,1
semicon sector to see net profit growth in says cimb research,1
china mulls radical output cuts port coal ban in war on smog document,0
malaysia airports hit record million in driven by international traffic,1
